user_id,name,type,author,main_characters,rating,review_date,tags,story_summary,notes,is_public
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,真爱来临那天,BL小说,涂格安,汪勤&赵凛生,0,2025-06-01,{现代},现代文，“我和前女友的前姐夫一夜情了”，记忆点不深估计不爱。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,恋爱脑重生日常,BL小说,焦糖冬瓜,姜若棠&陆归帆,0,2025-06-01,"{重生,现代}",现代文，重生后艺术生好好学习天天向上，一般。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,古代幼崽种田日常,BL小说,昵昵儿女,罐罐&魏承,0,2025-06-01,"{种田,古代,ABO}",架空种田，哥儿设定，可爱罐罐，捡罐罐养罐罐升级罐罐。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,两位少爷坚持联姻,BL小说,消失绿缇,兰斯&湛平川,0,2025-06-01,"{爽文,虐文}",异能世界的爽文，战斗写得也不错。两大公会的少爷互相隐瞒身份激情表演，装莲花的强受很爱。,群像写得不错，邓枝和妈妈的故事一开始就让我泪目了，骷髅小邓献上小虫虫好可爱。Oliver小天使赚够了我的眼泪，他的善良真的是无暇的，吃过那么多苦。副cp有对兄弟，哥哥的异能算是有double人格，很腹黑但也很爱。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,夜跑别在雷雨天,BL小说,空菊,,0,2025-06-01,"{穿越,重生,ABO,刑侦}",abo，两个平行世界来回穿，一般。,雷雨天加受父母留下的磁铁石双条件下受从abo的世界穿越到了攻所在的男女两性世界，生活中的认知差异有搞笑的误会，比如明明18cm的攻因为没有腺体，被受认定为阳痿，主线以几个案件推动两人的互相了解，再结合两个世界的来回穿越，大世界观就是元时空和分裂时空，类似游戏读档存档。最后反正就是都来到了两性世界。一般，说是本格推理但没有很精彩，有平行时空分裂时空，再叠加感情中寻找自我释怀自我，很多要素反而觉得乏味，每样都不深入。空菊的文印象深的还是电动小马达。由由说她是野人，达咩，以后不看她的文了。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,十世禅,BL小说,山里不听宣,伏䶮&和尚（罗耶佛）,0,2025-07-01,{玄幻},玄幻，和尚与龙，佛与魔，九世娑婆，渡与皈依。,作者文笔还不错其实，用词着句很佛美，阅读也很累，很多佛语典故不知何故。时间线太长，导致有点流水账，不过前后的埋伏呼应，证明作者的思路和大局观很用心。我还挺喜欢啼野的设定，恶本念。那个仙帝将欲行，我觉得好讽刺人类，自诩高高在上不过是自己的私欲，爱而不得。 石桥禅喜欢，之前看有个电影，杨紫琼演的，也有这段。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,绝地逢生,BL小说,焦糖冬瓜,肖岩&海茵,0,2025-07-01,{丧尸},异世丧尸病毒，真的对受长相很普这点耿耿于怀吖,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,囚于永夜,BL小说,麦香鸡,温然&顾昀迟,0,2025-07-01,{ABO},abo，欲言难止的副cp，很喜欢温然小可爱，比苦瓜还苦，辛苦的长大，努力的活着。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,搭界,BL小说,里伞,夏天梁&徐运墨,0,2025-07-01,{豪门},小市民生活类,艺术世家出生一本正经徐运墨，从小叛逆口甜舌滑夏天梁，要不是作者提前说了攻受，我肯定站反。搭的是什么界呢，难道是餐饮界和文化界？徐运墨的妈妈，不错的人设，曲艺优秀大家，婚后并没有退隐相夫教子，所以对二儿子是心存愧疚，让二儿子觉得不被爱，被比较。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,我靠种田飞升了,BL小说,爬上屋顶找星星,宋爱田&南景流,0,2025-07-01,"{种田,玄幻}",种田修真,,false
